"emp_no","emp_pay","f_nm","l_nm","hire_date","sex","emp_title"
110022,71166,"Margareta","Markovitch","1985-01-01","M","m0001"
110039,69941,"Vishwani","Minakawa","1986-04-12","M","m0001"
110085,60026,"Ebru","Alpin","1985-01-01","M","m0001"
110114,52070,"Isamu","Legleitner","1985-01-14","F","m0001"
110183,48291,"Shirish","Ossenbruggen","1985-01-01","F","m0001"
110228,40000,"Karsten","Sigstam","1985-08-04","F","m0001"
110303,42093,"Krassimir","Wegerle","1985-01-01","F","m0001"
110344,50365,"Rosine","Cools","1985-11-22","F","m0001"
110386,40000,"Shem","Kieras","1988-10-14","M","m0001"
110420,40000,"Oscar","Ghazalie","1992-02-05","M","m0001"
110511,48626,"DeForest","Hagimont","1985-01-01","M","m0001"
110567,40000,"Leon","DasSarma","1986-10-21","F","m0001"
110725,61357,"Peternela","Onuegbe","1985-01-01","F","m0001"
110765,40055,"Rutger","Hofmeyr","1989-01-07","F","m0001"
110800,50457,"Sanjoy","Quadeer","1986-08-12","F","m0001"
110854,45169,"Dung","Pesch","1989-06-09","M","m0001"
111035,71612,"Przemyslawa","Kaelbling","1985-01-01","M","m0001"
111133,71148,"Hauke","Zhang","1986-12-30","M","m0001"
111400,72446,"Arie","Staelin","1985-01-01","M","m0001"
111534,48077,"Hilary","Kambil","1988-01-31","F","m0001"
111692,40000,"Tonny","Butterworth","1985-01-01","F","m0001"
111784,40000,"Marjo","Giarratana","1988-02-12","F","m0001"
111877,53846,"Xiaobin","Spinelli","1991-08-17","F","m0001"
111939,40000,"Yuchang","Weedman","1989-07-10","M","m0001"
