"f_nm","l_nm","hire_date","sex","emp_title"
"Eran","Cusworth","1986-11-14","M","e0003"
"Bojan","Zallocco","1986-10-14","M","e0002"
"Nevio","Demizu","1986-05-18","F","s0002"
"Ziva","Vecchi","1986-07-03","M","e0003"
"Mohit","Speek","1986-01-14","F","e0003"
"Qunsheng","Speer","1986-02-13","M","e0003"
"Dines","Encarnacion","1986-08-02","M","s0001"
"Harngdar","Swick","1986-05-28","F","s0001"
"Freyja","Uhrig","1986-12-20","M","e0004"
"Zhenhua","Milicic","1986-08-04","M","s0001"
"Bowen","Schmezko","1986-05-30","M","e0002"
"Reuven","Munke","1986-04-13","M","s0001"
"Stabislas","Domenig","1986-08-04","M","s0001"
"Juichirou","Jumpertz","1986-09-18","M","e0003"
"Juichirou","Ghelli","1986-12-13","F","e0001"
"Shmuel","Georg","1986-11-30","M","s0002"
"Xiadong","Bach","1986-04-29","M","s0002"
"Guangming","Butterworth","1986-10-01","F","e0002"
"Irene","Setia","1986-08-10","F","e0002"
"Shuichi","Swiler","1986-06-08","M","e0003"
"Terresa","Perez","1986-09-12","F","e0003"
"Lidong","Borovoy","1986-05-30","M","e0002"
"Teiji","Eickenmeyer","1986-09-03","M","e0003"
"Baocai","Kroha","1986-10-27","F","s0002"
"Morrie","Sridhar","1986-03-04","M","e0002"
"Taegyun","Speckmann","1986-12-28","F","s0001"
"Stabislas","McFarlin","1986-07-19","M","e0003"
"Apostol","Ghelli","1986-04-07","M","e0003"
"Khun","Kuszyk","1986-06-30","M","s0001"
"Conor","Flanders","1986-02-21","M","s0001"
"Radhakrishnan","Albarhamtoshy","1986-05-07","M","e0003"
"Shigeu","Denna","1986-04-10","F","s0001"
"Uta","Frolund","1986-01-22","M","s0002"
"Zhiwei","Kaminger","1986-07-04","M","e0003"
"Sven","Krider","1986-09-25","F","e0003"
"Yannik","Vakili","1986-11-09","M","e0002"
"Khatoun","Zeilberger","1986-01-31","F","e0003"
"Fox","Erva","1986-05-06","F","e0002"
"Huai","Birrer","1986-03-28","M","s0001"
"Kristine","Litzler","1986-01-09","M","s0001"
"Eirik","Farrel","1986-09-19","F","s0001"
"Wayne","Levergood","1986-05-05","M","s0001"
"Chrisa","Cullers","1986-01-28","M","s0001"
"Manton","Perko","1986-06-18","M","e0003"
"Etsuo","Ratzlaff","1986-01-15","M","s0001"
"Odysseas","Erie","1986-02-06","M","s0001"
"Ingmar","Lambe","1986-10-21","M","s0001"
"Marin","Ashish","1986-07-11","M","e0003"
"JiYoung","Delaune","1986-09-04","M","e0003"
"Sandeepan","Sidou","1986-01-19","M","e0003"
"Neven","Leivant","1986-09-02","M","e0004"
"Sarita","Hofting","1986-07-03","M","e0003"
"Kolar","Karunanithi","1986-12-06","F","e0003"
"Shmuel","Impagliazzo","1986-02-19","M","e0003"
"Bedrich","Delaune","1986-04-06","F","s0001"
"Susanne","Asser","1986-08-05","F","e0003"
"Syozo","Sommen","1986-03-25","M","e0003"
"Ashish","Ventosa","1986-08-14","M","e0001"
"Ingmar","Pollacia","1986-08-21","M","e0004"
"Shrikanth","Ramalingam","1986-03-10","F","e0003"
"Rimli","Mahnke","1986-04-17","F","s0001"
"Adib","Chepyzhov","1986-11-10","F","s0001"
"Florina","Kavvadias","1986-12-14","F","e0003"
"Kiyomitsu","Bottner","1986-11-07","M","s0002"
"Berni","Thorelli","1986-08-05","M","s0001"
"Fumiya","Vilarrasa","1986-06-27","M","s0001"
"Remzi","Speckmann","1986-11-05","M","e0003"
"Georgi","Middleton","1986-11-24","M","s0002"
"Zejun","Anandan","1986-03-19","F","s0001"
"Kamakshi","Lipner","1986-08-17","M","e0004"
"Hyuncheol","Chaudhuri","1986-07-09","M","s0001"
"Chandrasekaran","Kaiser","1986-12-30","M","s0001"
"Bedir","Bashian","1986-10-05","F","s0002"
"Takahira","Spieker","1986-06-05","M","s0001"
"Krassimir","Sgarro","1986-08-04","F","e0003"
"Maya","Ghemri","1986-06-12","M","s0001"
"Eishiro","Dichev","1986-04-29","F","e0003"
"Hausi","Kambil","1986-07-03","M","e0003"
"Feipei","Clouatre","1986-03-05","M","e0002"
"Susumu","Kuszyk","1986-12-12","M","e0003"
"Stein","Kulisch","1986-06-11","M","e0003"
"Gen","Lundstrom","1986-05-29","M","s0001"
"Reinhard","Serre","1986-07-14","M","s0001"
"Alain","Fujisaki","1986-04-07","M","s0001"
"Alain","Dratva","1986-04-23","M","s0001"
"Claudi","Spieker","1986-04-23","M","e0003"
"Dulce","Ebeling","1986-03-18","M","e0002"
"Jayson","Perri","1986-03-23","M","s0001"
"Steen","Hofman","1986-10-08","M","s0001"
"Mads","Legleitner","1986-07-11","M","s0002"
"Gio","Schauser","1986-10-23","M","s0001"
"Takanari","Beznosov","1986-06-10","M","e0002"
"Gita","Dichev","1986-11-01","M","s0002"
"Barna","Mamelak","1986-01-17","F","s0001"
"Junsik","Sinitsyn","1986-11-21","M","e0004"
"Snehasis","Anily","1986-03-03","F","e0003"
"Behnaam","Schwartzbauer","1986-10-17","M","s0001"
"Shem","Petersohn","1986-07-08","M","s0001"
"Mokhtar","Chiodo","1986-04-06","F","s0002"
"Serif","Streit","1986-03-17","M","s0001"
