"f_nm","l_nm","hire_date","dept_no","emp_title","emp_no","dept_name"
"Georgi","Facello","1986-06-26","d005","e0003",10001,"Development"
"Bezalel","Simmel","1985-11-21","d007","s0001",10002,"Sales"
"Parto","Bamford","1986-08-28","d004","e0003",10003,"Production"
"Chirstian","Koblick","1986-12-01","d004","e0003",10004,"Production"
"Kyoichi","Maliniak","1989-09-12","d003","s0001",10005,"Human Resources"
"Anneke","Preusig","1989-06-02","d005","e0003",10006,"Development"
"Tzvetan","Zielinski","1989-02-10","d008","s0001",10007,"Research"
"Saniya","Kalloufi","1994-09-15","d005","e0001",10008,"Development"
"Sumant","Peac","1985-02-18","d006","e0003",10009,"Quality Management"
"Duangkaew","Piveteau","1989-08-24","d004","e0002",10010,"Production"
"Duangkaew","Piveteau","1989-08-24","d006","e0002",10010,"Quality Management"
"Mary","Sluis","1990-01-22","d009","s0001",10011,"Customer Service"
"Patricio","Bridgland","1992-12-18","d005","e0003",10012,"Development"
"Eberhardt","Terkki","1985-10-20","d003","s0002",10013,"Human Resources"
"Berni","Genin","1987-03-11","d005","e0002",10014,"Development"
"Guoxiang","Nooteboom","1987-07-02","d008","s0002",10015,"Research"
"Kazuhito","Cappelletti","1995-01-27","d007","s0001",10016,"Sales"
"Cristinel","Bouloucos","1993-08-03","d001","s0001",10017,"Marketing"
"Kazuhide","Peha","1987-04-03","d004","e0003",10018,"Production"
"Kazuhide","Peha","1987-04-03","d005","e0003",10018,"Development"
"Lillian","Haddadi","1999-04-30","d008","s0001",10019,"Research"
"Mayuko","Warwick","1991-01-26","d004","e0002",10020,"Production"
"Ramzi","Erde","1988-02-10","d005","e0004",10021,"Development"
"Shahaf","Famili","1995-08-22","d005","e0002",10022,"Development"
"Bojan","Montemayor","1989-12-17","d005","e0002",10023,"Development"
"Suzette","Pettey","1997-05-19","d004","e0001",10024,"Production"
"Prasadram","Heyers","1987-08-17","d005","e0004",10025,"Development"
"Yongqiao","Berztiss","1995-03-20","d004","e0003",10026,"Production"
"Divier","Reistad","1989-07-07","d005","e0003",10027,"Development"
"Domenick","Tempesti","1991-10-22","d005","e0002",10028,"Development"
"Otmar","Herbst","1985-11-20","d004","e0003",10029,"Production"
"Otmar","Herbst","1985-11-20","d006","e0003",10029,"Quality Management"
"Elvis","Demeyer","1994-02-17","d004","e0003",10030,"Production"
"Karsten","Joslin","1991-09-01","d005","e0003",10031,"Development"
"Jeong","Reistad","1990-06-20","d004","e0003",10032,"Production"
"Arif","Merlo","1987-03-18","d006","e0004",10033,"Quality Management"
"Bader","Swan","1988-09-21","d007","s0001",10034,"Sales"
"Alain","Chappelet","1988-09-05","d004","e0003",10035,"Production"
"Adamantios","Portugali","1992-01-03","d003","s0002",10036,"Human Resources"
"Pradeep","Makrucki","1990-12-05","d005","e0003",10037,"Development"
"Huan","Lortz","1989-09-20","d009","s0001",10038,"Customer Service"
"Alejandro","Brender","1988-01-19","d003","s0001",10039,"Human Resources"
"Weiyi","Meriste","1993-02-14","d005","e0003",10040,"Development"
"Weiyi","Meriste","1993-02-14","d008","e0003",10040,"Research"
"Uri","Lenart","1989-11-12","d007","s0001",10041,"Sales"
"Magy","Stamatiou","1993-03-21","d002","s0001",10042,"Finance"
"Yishay","Tzvieli","1990-10-20","d005","e0003",10043,"Development"
"Mingsen","Casley","1994-05-21","d004","e0004",10044,"Production"
"Moss","Shanbhogue","1989-09-02","d004","e0002",10045,"Production"
"Lucien","Rosenbaum","1992-06-20","d008","s0001",10046,"Research"
"Zvonko","Nyanchama","1989-03-31","d004","e0003",10047,"Production"
"Florian","Syrotiuk","1985-02-24","d005","e0002",10048,"Development"
"Basil","Tramer","1992-05-04","d009","s0001",10049,"Customer Service"
"Yinghua","Dredge","1990-12-25","d002","s0001",10050,"Finance"
"Yinghua","Dredge","1990-12-25","d007","s0001",10050,"Sales"
"Hidefumi","Caine","1992-10-15","d004","e0003",10051,"Production"
