"emp_no","l_nm","f_nm"
10002,"Simmel","Bezalel"
10016,"Cappelletti","Kazuhito"
10034,"Swan","Bader"
10041,"Lenart","Uri"
10050,"Dredge","Yinghua"
10053,"Zschoche","Sanjiv"
10060,"Billingsley","Breannda"
10061,"Herber","Tse"
10068,"Brattka","Charlene"
10087,"Eugenio","Xinglin"
10088,"Syrzycki","Jungsoon"
10089,"Flasterstein","Sudharsan"
10093,"Desikan","Sailaja"
10095,"Morton","Hilari"
10099,"Sullins","Valter"
10101,"Heyers","Perla"
10107,"Baca","Dung"
10125,"Hiltgen","Syozo"
10136,"Pintelas","Zissis"
10148,"Azumi","Douadi"
10149,"Perry","Xiadong"
10151,"Lichtner","Itzchak"
10160,"Khasidashvili","Debatosh"
10178,"Litvinov","Valery"
10185,"Sidhu","Duro"
10199,"Ranta","Kazuhisa"
10209,"Ellozy","Yolla"
10214,"Ciolek","Tadahiko"
10215,"Duclos","Xiaobin"
10226,"Plessier","Xinglin"
10228,"Cesareni","Karoline"
10232,"Auria","Marko"
10234,"Bakhtari","Arunachalam"
10236,"Bade","Susumu"
10237,"Mandell","Yannis"
10243,"Pouyioutas","Wonhee"
10248,"Tempesti","Frederique"
10253,"Salinas","Zsolt"
10254,"Brattka","Shen"
10256,"Radhakrishnan","Irene"
10262,"Maraist","Mahendra"
10270,"Hartvigsen","Bedir"
10273,"Lieblein","Baocai"
10277,"Schwartzbauer","Isaac"
10291,"Seghrouchni","Dipayan"
10292,"Ghelli","Yucel"
10296,"Lorho","Petter"
10299,"Stentiford","Ipke"
10302,"Baer","Faiza"
10304,"Erie","Bernt"
10306,"Kilgour","Heng"
10308,"Holburn","Dzung"
10314,"Apsitis","Christfried"
10319,"Miyakawa","Mechthild"
10320,"Stasinski","Uinam"
10321,"Ravishankar","Guenter"
10330,"Bellmore","Kasturi"
10331,"Binkley","Arto"
10335,"Bahi","Toshimori"
10346,"Radwan","Aamod"
10355,"Cochrane","Satyanarayana"
10361,"Sidou","Seshu"
10369,"Toyoshima","Qunsheng"
10370,"Fandrianto","Clyde"
10374,"Rosin","Willard"
10375,"Kalafatis","Dante"
10378,"Lichtner","Takahira"
10380,"Kamble","Alejandro"
10388,"Kaiser","Hironoby"
10398,"Escriba","Shooichi"
10399,"Marchegay","Guenter"
10400,"Nitto","Ortrud"
10403,"Mungall","Atreyi"
10407,"Siepmann","Ulf"
10408,"Kaiser","Martijn"
10410,"Gecsei","Takahito"
10411,"Klerer","Lidong"
10417,"Bakhtari","Bingning"
10427,"Sudbeck","Khosrow"
10431,"Bugrara","Patricio"
10442,"Unno","Volkmar"
10444,"Rosis","Kazuhira"
10448,"Oxenboll","Phule"
10449,"Sudkamp","Aleksandar"
10454,"Badr","Wonhee"
10455,"Streng","Sverrir"
10458,"Engelmann","Gina"
10461,"Karcich","Gal"
10463,"Zaiane","Ung"
10468,"Shobatake","Yoshimitsu"
10472,"Lodder","Salvador"
10490,"Vuskovic","Huiqun"
10493,"Haraldson","Maris"
10499,"Luft","Maik"
10504,"Varker","Xiong"
10505,"Auria","Isamu"
10509,"Riesenhuber","Abdelwaheb"
10510,"Slobodova","Keung"
10515,"Kirkerud","Raimond"
10517,"Speek","Tiina"
