"emp_no","l_nm","f_nm","dept_name"
10001,"Facello","Georgi","Development"
10002,"Simmel","Bezalel","Sales"
10006,"Preusig","Anneke","Development"
10008,"Kalloufi","Saniya","Development"
10012,"Bridgland","Patricio","Development"
10014,"Genin","Berni","Development"
10016,"Cappelletti","Kazuhito","Sales"
10018,"Peha","Kazuhide","Development"
10021,"Erde","Ramzi","Development"
10022,"Famili","Shahaf","Development"
10023,"Montemayor","Bojan","Development"
10025,"Heyers","Prasadram","Development"
10027,"Reistad","Divier","Development"
10028,"Tempesti","Domenick","Development"
10031,"Joslin","Karsten","Development"
10034,"Swan","Bader","Sales"
10037,"Makrucki","Pradeep","Development"
10040,"Meriste","Weiyi","Development"
10041,"Lenart","Uri","Sales"
10043,"Tzvieli","Yishay","Development"
10048,"Syrotiuk","Florian","Development"
10050,"Dredge","Yinghua","Sales"
10053,"Zschoche","Sanjiv","Sales"
10056,"Bernini","Brendon","Development"
10057,"Callaway","Ebbe","Development"
10060,"Billingsley","Breannda","Sales"
10061,"Herber","Tse","Sales"
10062,"Peyn","Anoosh","Development"
10065,"Awdeh","Satosi","Development"
10066,"Schusler","Kwee","Development"
10068,"Brattka","Charlene","Sales"
10070,"Garigliano","Reuven","Development"
10072,"Sidou","Hironoby","Development"
10074,"Bernatsky","Mokhtar","Development"
10075,"Dolinsky","Gao","Development"
10076,"Ritzmann","Erez","Development"
10078,"Mondadori","Danel","Development"
10079,"Gils","Kshitij","Development"
10087,"Eugenio","Xinglin","Sales"
10088,"Syrzycki","Jungsoon","Sales"
10089,"Flasterstein","Sudharsan","Sales"
10090,"Hofting","Kendra","Development"
10091,"Gomatam","Amabile","Development"
10092,"Niizuma","Valdiodio","Development"
10093,"Desikan","Sailaja","Sales"
10095,"Morton","Hilari","Sales"
10099,"Sullins","Valter","Sales"
10101,"Heyers","Perla","Sales"
10103,"Birch","Akemi","Development"
10107,"Baca","Dung","Sales"
10116,"Czap","Dayanand","Development"
10118,"Zyda","Zhonghui","Development"
10121,"Ramsay","Guoxiang","Development"
10122,"Esposito","Ohad","Development"
10125,"Hiltgen","Syozo","Sales"
10127,"Baja","Subir","Development"
10129,"Peir","Armond","Development"
10134,"Siprelle","Diederik","Development"
10136,"Pintelas","Zissis","Sales"
10139,"Foong","Ewing","Development"
10142,"Hettesheimer","Tzvetan","Development"
10143,"Bakhtari","Sakthirel","Development"
10145,"Esposito","Akemi","Development"
10148,"Azumi","Douadi","Sales"
10149,"Perry","Xiadong","Sales"
10150,"Perng","Zhenbing","Development"
10151,"Lichtner","Itzchak","Sales"
10153,"Majewski","Heekeun","Development"
10157,"Aloisi","Nigel","Development"
10160,"Khasidashvili","Debatosh","Sales"
10166,"Siegrist","Samphel","Development"
10169,"Snedden","Sampalli","Development"
10172,"Matzen","Shigeu","Development"
10178,"Litvinov","Valery","Sales"
10179,"Duclos","Deniz","Development"
10181,"Nooteboom","Sibyl","Development"
10182,"Merey","Moriyoshi","Development"
10185,"Sidhu","Duro","Sales"
10189,"Erva","Khalid","Development"
10191,"Nastansky","Zdislav","Development"
10193,"Cheshire","Masaru","Development"
10197,"Krzyzanowski","Kasidit","Development"
10198,"Furedi","Pranav","Development"
10199,"Ranta","Kazuhisa","Sales"
10201,"Kavraki","Idoia","Development"
10202,"Lichtner","Greger","Development"
10204,"Ritcey","Nevio","Development"
10206,"Iwayama","Alassane","Development"
10207,"Anandan","Girolamo","Development"
10209,"Ellozy","Yolla","Sales"
10211,"Strehl","Vishu","Development"
10212,"Esteva","Divier","Development"
10214,"Ciolek","Tadahiko","Sales"
10215,"Duclos","Xiaobin","Sales"
10219,"Kolvik","Genta","Development"
10223,"Schmiedel","Carrsten","Development"
10226,"Plessier","Xinglin","Sales"
10227,"Kaiser","Anneli","Development"
10228,"Cesareni","Karoline","Sales"
10232,"Auria","Marko","Sales"
